id	X-Coordinate	Y-Coordinate	Z	M
332	150.08000183	-33.52830124	0	0
333	149.63299561	-33.56169891	0	0
334	145.02499390	-33.58499908	0	0
335	136.79299927	-33.59830093	0	0
336	148.99499512	-33.61999893	0	0
337	149.17700195	-33.62170029	0	0
338	150.30799866	-33.65499878	0	0
339	136.84199524	-33.65829849	0	0
340	150.29800415	-33.65999985	0	0
341	149.16999817	-33.67169952	0	0
342	150.30299377	-33.68500137	0	0
343	150.30200195	-33.68999863	0	0
344	150.30000305	-33.69329834	0	0
345	136.54299927	-33.69499969	0	0
346	150.48300171	-33.70000076	0	0
347	150.48300171	-33.70000076	0	0
348	149.86700439	-33.72499847	0	0
349	144.94299316	-33.76330185	0	0
350	151.25500488	-33.78329849	0	0
351	116.00299835	-33.80670166	0	0
352	150.89999390	-33.82669830	0	0
353	116.43800354	-33.85169983	0	0
354	150.62800598	-33.86169815	0	0
355	144.87800598	-33.87170029	0	0
356	150.59500122	-33.88169861	0	0
357	151.03300476	-33.90000153	0	0
358	115.94300079	-33.90999985	0	0
359	148.10800171	-33.95669937	0	0
360	148.94999695	-33.97499847	0	0
361	148.94999695	-33.97499847	0	0
362	140.86700439	-33.99169922	0	0
363	135.69999695	-34.09999847	0	0
364	116.15000153	-34.26670074	0	0
365	116.04299927	-34.28329849	0	0
366	138.85000610	-34.29999924	0	0
367	116.19999695	-34.36669922	0	0
368	116.03299713	-34.41669846	0	0
369	116.25000000	-34.43330002	0	0
370	138.91659546	-34.71659851	0	0
371	138.80499268	-34.83330154	0	0
372	117.38300323	-34.90000153	0	0
373	150.64999390	-34.00999832	0	0
374	150.67700195	-34.02669907	0	0
375	150.67500305	-34.04330063	0	0
376	141.27499390	-34.04999924	0	0
377	150.70199585	-34.04999924	0	0
378	141.24499512	-34.06999969	0	0
379	139.92799377	-34.07830048	0	0
380	150.71000671	-34.08000183	0	0
381	150.74000549	-34.08499908	0	0
382	149.36000061	-34.10329819	0	0
383	141.90199280	-34.11169815	0	0
384	150.93299866	-34.11169815	0	0
385	150.74699402	-34.11999893	0	0
386	141.39700317	-34.12829971	0	0
387	142.16499329	-34.17499924	0	0
388	140.35499573	-34.18830109	0	0
389	140.76699829	-34.19169998	0	0
390	141.59500122	-34.19169998	0	0
391	150.63000488	-34.20500183	0	0
392	150.66499329	-34.24670029	0	0
393	116.07199860	-34.25500107	0	0
394	150.80000305	-34.26670074	0	0
395	150.54800415	-34.26829910	0	0
396	141.59700012	-34.27669907	0	0
397	150.61700439	-34.33499908	0	0
398	150.74499512	-34.33829880	0	0
399	150.63800049	-34.35329819	0	0
400	140.57299805	-34.36000061	0	0
401	139.61659241	-34.35160065	0	0
402	143.77999878	-34.38000107	0	0
403	135.71299744	-34.40499878	0	0
404	150.77999878	-34.40829849	0	0
405	149.46800232	-34.41669846	0	0
406	150.77699280	-34.42670059	0	0
407	135.83299255	-34.46500015	0	0
408	144.30299377	-34.47829819	0	0
409	135.84800720	-34.48830032	0	0
410	150.26300049	-34.51499939	0	0
411	144.71000671	-34.52330017	0	0
412	150.80200195	-34.53170013	0	0
413	150.49499512	-34.54000092	0	0
414	150.48199463	-34.54330063	0	0
415	149.57800293	-34.58499908	0	0
416	142.75799561	-34.59999847	0	0
417	146.27299500	-34.61830139	0	0
418	150.38499451	-34.63000107	0	0
419	146.14199829	-34.64329910	0	0
420	138.84700012	-34.64500046	0	0
421	150.48699951	-34.64830017	0	0
422	143.49200439	-34.66669846	0	0
423	117.87699890	-34.67169952	0	0
424	150.80799866	-34.67169952	0	0
425	150.78500366	-34.68170166	0	0
426	138.85200500	-34.68830109	0	0
427	138.85200500	-34.68830109	0	0
428	146.41700745	-34.70500183	0	0
429	148.18499756	-34.70500183	0	0
430	149.67700195	-34.72000122	0	0
431	150.47799683	-34.72499847	0	0
432	149.67999268	-34.73500061	0	0
433	149.70500183	-34.73669815	0	0
434	138.71800232	-34.75500107	0	0
435	145.30000305	-34.76169968	0	0
436	147.90299988	-34.77000046	0	0
437	150.31300354	-34.77330017	0	0
438	145.04499817	-34.80500031	0	0
439	150.55499268	-34.80670166	0	0
440	138.67799377	-34.85499954	0	0
441	138.77299500	-34.86830139	0	0
442	138.68299866	-34.87670135	0	0
443	146.83700562	-34.88169861	0	0
444	150.57299805	-34.88830185	0	0
445	138.75000000	-34.89170074	0	0
446	150.51699829	-34.90670013	0	0
447	117.36699677	-34.91500092	0	0
448	150.38499451	-34.91999817	0	0
449	138.60000610	-35.04999924	0	0
450	139.03300476	-35.09999847	0	0
451	138.68330383	-35.12500000	0	0
452	116.06330109	-32.04159927	0	0
453	138.41799927	-35.40000153	0	0
454	139.00000000	-35.41669846	0	0
455	138.81700134	-35.53329849	0	0
456	138.89999390	-35.54999924	0	0
457	143.76699829	-35.58330154	0	0
458	137.10000610	-35.71670151	0	0
459	148.58000183	-35.00500107	0	0
460	138.80499268	-34.81060028	0	0
461	138.56500244	-35.07500076	0	0
462	149.56700134	-35.07500076	0	0
463	138.63299561	-35.11169815	0	0
464	138.68330383	-35.12500000	0	0
465	149.99200439	-35.16329956	0	0
466	144.80700684	-35.22000122	0	0
467	149.06700134	-35.22330093	0	0
468	150.33200073	-35.26499939	0	0
469	144.88800049	-35.26670074	0	0
470	144.91499329	-35.27830124	0	0
471	148.93699646	-35.30329895	0	0
472	149.07200623	-35.30329895	0	0
473	144.98300171	-35.31669998	0	0
474	148.24699402	-35.40499878	0	0
475	149.26800537	-35.41170120	0	0
476	149.07200623	-35.41669846	0	0
477	144.75999451	-35.43830109	0	0
478	148.82499695	-35.44499969	0	0
479	143.63299561	-35.45669937	0	0
480	138.59700012	-35.47169876	0	0
481	148.83500671	-35.53329849	0	0
482	148.30700684	-35.56330109	0	0
483	149.44500732	-35.59329987	0	0
484	148.29200745	-35.62829971	0	0
485	148.30299377	-35.62829971	0	0
486	150.16700745	-35.75500107	0	0
487	148.66200256	-35.79669952	0	0
488	148.44999695	-35.88330078	0	0
489	144.34500122	-35.90829849	0	0
490	148.36300659	-35.92829895	0	0
491	144.46499634	-35.94329834	0	0
492	144.29699707	-35.96170044	0	0
493	148.38800049	-35.96670151	0	0
494	143.87699890	-36.25000000	0	0
495	143.94999695	-36.43330002	0	0
496	144.83000183	-36.43330002	0	0
497	142.91999817	-36.51670074	0	0
498	144.22999573	-36.59999847	0	0
499	146.01699829	-36.59999847	0	0
500	144.22000122	-36.81669998	0	0
501	143.89199829	-36.83330154	0	0
502	148.32499695	-36.00170135	0	0
503	148.44700623	-36.00500107	0	0
504	148.33799744	-36.01169968	0	0
505	145.99499512	-36.01330185	0	0
506	148.27299500	-36.05329895	0	0
507	147.03300476	-36.11000061	0	0
508	116.05000305	-33.21659851	0	0
509	148.61199951	-36.14500046	0	0
510	148.11300659	-36.22169876	0	0
511	148.17799377	-36.24330139	0	0
512	142.41200256	-36.28499985	0	0
513	150.03500366	-36.28829956	0	0
514	148.31500244	-36.30500031	0	0
515	143.86300659	-36.32500076	0	0
516	148.46299744	-36.32669830	0	0
517	150.04699707	-36.33330154	0	0
518	148.37199402	-36.38000107	0	0
519	148.63000488	-36.43330002	0	0
520	144.65499878	-36.43669891	0	0
521	145.93800354	-36.47499847	0	0
522	149.72700500	-36.48830032	0	0
523	146.02200317	-36.49169922	0	0
524	143.95199585	-36.50329971	0	0
525	145.10000610	-36.53329849	0	0
526	147.46000671	-36.53670120	0	0
527	147.52000427	-36.56000137	0	0
528	148.45500183	-36.57170105	0	0
529	143.20500183	-36.59170151	0	0
530	144.26699829	-36.68170166	0	0
531	145.15800476	-36.71829987	0	0
532	146.65299988	-36.71829987	0	0
533	146.22000122	-36.72000122	0	0
534	142.38699341	-36.76330185	0	0
535	142.33799744	-36.77000046	0	0
536	142.28700256	-36.77330017	0	0
537	147.21800232	-36.78170013	0	0
538	146.20500183	-36.78670120	0	0
539	142.29699707	-36.78829956	0	0
540	144.27799988	-36.80329895	0	0
541	147.22300720	-36.80329895	0	0
542	144.22799683	-36.81999969	0	0
543	145.63800049	-36.81999969	0	0
544	143.25999451	-36.84500122	0	0
545	144.52799988	-36.84500122	0	0
546	146.00700378	-36.85329819	0	0
547	144.25000000	-36.84999847	0	0
548	145.69200134	-36.87329865	0	0
549	147.29499817	-36.87500000	0	0
550	142.33999634	-36.88830185	0	0
551	146.38999939	-36.91999817	0	0
552	144.27699280	-36.96829987	0	0
553	143.96200562	-36.98830032	0	0
554	141.94000244	-36.99499893	0	0
555	143.65299988	-37.09999847	0	0
556	143.10699463	-37.18330002	0	0
557	144.75300598	-37.33330154	0	0
558	143.36999512	-37.36669922	0	0
559	144.23300171	-37.38330078	0	0
560	144.55700684	-37.41669846	0	0
561	144.02499390	-37.51670074	0	0
562	145.11199951	-37.56669998	0	0
563	144.45799255	-37.68330002	0	0
564	144.90499878	-37.70000076	0	0
565	147.36700439	-37.70000076	0	0
566	144.31700134	-37.71670151	0	0
567	144.24299622	-37.84999847	0	0
568	145.41299438	-37.91669846	0	0
569	143.92199707	-37.00329971	0	0
570	144.78799438	-37.03499985	0	0
571	142.58500671	-37.04169846	0	0
572	144.27499390	-37.04669952	0	0
573	143.61300659	-37.04999924	0	0
574	143.72799683	-37.07329941	0	0
575	144.30299377	-37.08670044	0	0
576	143.86799622	-37.09000015	0	0
577	142.44200134	-37.09669876	0	0
578	143.39700317	-37.10499954	0	0
579	145.19799805	-37.12170029	0	0
580	143.63000488	-37.12670135	0	0
581	144.06300354	-37.13169861	0	0
582	142.61300659	-37.13499832	0	0
583	143.51800537	-37.15829849	0	0
584	142.54200745	-37.17670059	0	0
585	144.38000488	-37.18669891	0	0
586	145.07000732	-37.20330048	0	0
587	142.41499329	-37.22169876	0	0
588	145.92799377	-37.22499847	0	0
589	116.03330231	-33.81660080	0	0
590	141.96800232	-37.22999954	0	0
591	144.38299561	-37.25170135	0	0
592	143.64799500	-37.25669861	0	0
593	142.53199768	-37.26499939	0	0
594	143.64799500	-37.27999878	0	0
595	144.40299988	-37.27999878	0	0
596	143.19999695	-37.29169846	0	0
597	144.40199280	-37.35329819	0	0
598	143.99200439	-37.36830139	0	0
599	144.58999634	-37.37670135	0	0
600	144.18699646	-37.38830185	0	0
601	143.38200378	-37.39329910	0	0
602	145.24299622	-37.40330124	0	0
603	144.00199890	-37.40499878	0	0
604	144.35000610	-37.40999985	0	0
605	144.57499695	-37.45669937	0	0
606	145.15299988	-37.47169876	0	0
607	144.14500427	-37.50999832	0	0
608	143.92199707	-37.52000046	0	0
609	144.09800720	-37.52000046	0	0
610	144.23199463	-37.52000046	0	0
611	145.22700500	-37.53170013	0	0
612	144.14700317	-37.53670120	0	0
613	144.02699280	-37.54330063	0	0
614	143.92999268	-37.55170059	0	0
615	143.93200684	-37.55329895	0	0
616	143.94799805	-37.55329895	0	0
617	144.18299866	-37.55670166	0	0
618	144.52299500	-37.59170151	0	0
619	144.18200684	-37.60829926	0	0
620	144.28199768	-37.61000061	0	0
621	144.49299622	-37.62670135	0	0
622	144.90699768	-37.63669968	0	0
623	144.93299866	-37.64329910	0	0
624	145.55299377	-37.64329910	0	0
625	143.58299255	-37.64500046	0	0
626	142.03999329	-37.67499924	0	0
627	145.89799500	-37.67670059	0	0
628	144.07800293	-37.67829895	0	0
629	145.80499268	-37.67829895	0	0
630	145.30799866	-37.68000031	0	0
631	145.57699585	-37.68669891	0	0
632	146.33299255	-37.71670151	0	0
633	144.55999756	-37.76169968	0	0
634	145.66299438	-37.79000092	0	0
635	144.20700073	-37.81499863	0	0
636	145.42199707	-37.82830048	0	0
637	146.39700317	-37.84329987	0	0
638	144.37800598	-37.85829926	0	0
639	145.16999817	-37.88830185	0	0
640	145.17199707	-37.88830185	0	0
641	146.80200195	-37.90499878	0	0
642	146.96200562	-37.90999985	0	0
643	145.74499512	-37.93500137	0	0
644	145.38699341	-37.96170044	0	0
645	145.29299927	-37.97169876	0	0
646	146.65800476	-38.00000000	0	0
647	146.19999695	-38.06669998	0	0
648	146.36700439	-38.18330002	0	0
649	146.43200684	-38.18330002	0	0
650	146.41700745	-38.25000000	0	0
651	146.39799500	-38.28329849	0	0
652	143.71800232	-38.53329849	0	0
653	146.11199951	-38.71670151	0	0
654	145.93699646	-38.02330017	0	0
655	145.40800476	-38.02999878	0	0
656	146.38699341	-38.09170151	0	0
657	145.13200378	-38.17330170	0	0
658	146.35000610	-38.18170166	0	0
659	146.33000183	-38.20330048	0	0
660	146.53300476	-38.25500107	0	0
661	146.53300476	-38.25830078	0	0
662	146.40699768	-38.26169968	0	0
663	146.54299927	-38.26330185	0	0
664	146.52499390	-38.27170181	0	0
665	145.10699463	-38.27830124	0	0
666	144.05200195	-38.28829956	0	0
667	146.36500549	-38.30500031	0	0
668	142.67999268	-38.31169891	0	0
669	145.80200195	-38.41329956	0	0
670	145.91000366	-38.41329956	0	0
671	145.91700745	-38.41500092	0	0
672	145.81199646	-38.41830063	0	0
673	145.57800293	-38.45669937	0	0
674	145.67199707	-38.51169968	0	0
675	145.67199707	-38.51169968	0	0
676	143.66999817	-38.58829880	0	0
677	143.69999695	-38.59830093	0	0
678	144.06700134	-40.04999924	0	0
679	145.17700195	-40.88830185	0	0
680	145.57000732	-40.92829895	0	0
681	147.93499756	-40.93830109	0	0
682	147.96800232	-40.95330048	0	0
683	147.92999268	-40.95500183	0	0
684	147.25300598	-41.01330185	0	0
685	148.02999878	-41.02170181	0	0
686	148.04800415	-41.06000137	0	0
687	147.91499329	-41.07170105	0	0
688	145.90699768	-41.08000183	0	0
689	146.95199585	-41.09999847	0	0
690	145.70199585	-41.13330078	0	0
691	146.89500427	-41.13330078	0	0
692	146.90199280	-41.13499832	0	0
693	147.90800476	-41.13999939	0	0
